image_path,road_code,road_name,segment_start,segment_end,lat_centroid,lon_centroid,survey_year,region,station,vci,vvci,all_cracking_grade,wide_cracking_grade,ravelling_grade,bleeding_grade,drainage_road_grade,pothole_grade,split
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05781.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05782.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05783.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05784.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05785.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05786.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05787.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05788.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05789.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05790.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05791.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05792.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05793.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05794.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,test
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05795.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,val
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05796.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05797.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
/run/media/mugisa/New Volume/Jinja road/2021-22/LUGAZI-NJERU-PAVE-0-05798.jpg,627,B102,0.0,1.0,0.441135,33.178044,2022.0,Central,Kampala,85.0,87.68115942028986,2,2,1,1,1,1,train
